school ID,Full Name,State,City,Relationship Status, Student Body Total,Residential Accommodations,Faculty Advanced Degrees %, SAT Top 10% Average,SAT Top 30% Average,Religious affiliation, Total International Students,Acceptance Rate - Current,Most Recent Agreement Relationship Age,Enrollment Completion Rate
DCAZ,Desert Christian High School,AZ,Tucson,Neutral relationship,375,Host Families through School,47%,2129,1950,Christian (Non-Denomo-national),4,,,
SDA,San Diego Academy,CA,National City,Neutral relationship,295,Host Families through School,80%,1820,1708,7th Day Adventist,23,,,
MARIAN,Marian High School,IN,Mishawaka,Neutral relationship,720,Host Families through School,50%,,,Catholic,9,60%,1173,125%
JACKSONCS,Jackson Christian School,MI,Jackson,Neutral relationship,377,Host Families through School,26%,2092,1842,Christian (non-denominational),18,,,
DHSWWCS,"De Sales High School, Walla Walla Catholic Schools",WA,Walla Walla,Neutral relationship,328,Host Families through School,50%,1905,1834,Catholic,4,100%,,50%
EHSBR,Episcopal High School,LA,Baton Rouge,Neutral relationship,937,Host Families through School,55%,2147,2047,Episcopal,7,,,
CIS,Columbia Independent School,MO,Columbia,Neutral relationship,346,Host Families through School,70%,2170,,None,4,,,
SJHSPA,Saint Joseph High School,PA,Natrona Heights,Neutral relationship,219,Host Families through School,55%,2010,1784,Catholic,1,,,
TRINITYPA,Trinity High School,PA,Camp Hill,Neutral relationship,532,Host Families through School,50%,,,Catholic,19,,,
REDEEMER,Redeemer Classical Christian School,MD,Kingsville,Neutral relationship,278,Host Families through School,40%,,2054,Christian,2,,551,0%
LWA,Lawrence Woodmere Academy,NY,Woodmere,Neutral relationship,325,Host Families through GP,80%,2089,1910,None,34,82.14%,1536,81%
PACELLI,Pacelli High School,WI,Stevens Point,Neutral relationship,217,Host Families through GP,40%,2090,,Catholic,5,68.18%,581,75%
REGIS,Regis High School,WI,Eau Claire,Neutral relationship,253,Host Families through GP,50%,,2170,Catholic,15,90.91%,528,33%
HSPS,Holy Spirit Preparatory School,GA,Atlanta,Neutral relationship,787,Host Families through GP,76%,,,Catholic,10,83.33%,90,40%
NDAHINGHAM,Notre Dame Academy,MA,Hingham,Neutral relationship,550,Host Families through GP,90%,2190,2044,Catholic,15,56.25%,945,100%
DLS,Dallas Lutheran School,TX,Dallas,Neutral relationship,175,Host Families through GP,61%,1936,1786,Lutheran,22,73.91%,934,200%
SMCC,Saint Mary Catholic Central High School,MI,Monroe,Neutral relationship,390,Host Families through GP,42%,1980,1860,Catholic,4,100%,969,17%
CDSSH,Country Day School of the Sacred Heart,PA,Bryn Mawr,Neutral relationship,315,Host Families through GP,60%,2172,2021,Catholic,4,,,
SJHS,St. Joseph's High School,CA,Santa Maria,Neutral relationship,473,Host Families through GP,43%,,,Catholic,11,46.43%,859,100%
HNHS,Holy Names High School,CA,Oakland,Neutral relationship,160,Host Families through GP,90%,2100,1840,Catholic,11,50%,1288,0%
STCLEMENT,St. Clement School,MA,Medford,Neutral relationship,265,Host Families through GP,90%,,,Roman Catholic ,,,,
STMA,St. Thomas More Academy,DE,Magnolia,Neutral relationship,237,Host Families through GP,60%,2170,2056,Catholic,18,91.67%,704,50%
LUDDENHS,Bishop Ludden Junior/Senior High School,NY,Syracuse,Neutral relationship,330,Host Families through GP,39%,1980,1770,Catholic,9,100%,1270,33%
XBHS,Xaverian Brothers High School,MA,Westwood,Neutral relationship,900,Host Families through GP,95%,,1895,Catholic (Xavarien,10,60%,350,100%
TKA,The King's Academy,FL,West Palm Beach,Neutral relationship,1200,Host Families through GP,56%,2060,1933,Christian (Non-Denominational),26,63.64%,,60%
CORNELIA,Cornelia Connelly School,CA,Anaheim,Neutral relationship,192,Host Families through GP,57%,2204,2045,Catholic,27,97.14%,1239,76%
CANTERBURY,The Canterbury School Of Florida,FL,St. Petersburg,Neutral relationship,465,Host Families through GP,60%,2085,1903,Episcopal,6,57.14%,1211,33%
OLLHS,Our Lady of Lourdes High School,NY,Poughkeepsie,Neutral relationship,655,Host Families through GP,70%,2136,1978,Catholic,24,80.39%,1068,113%
STUART,Stuart Country Day School of the Sacred Heart,NJ,Princeton,Neutral relationship,454,Host Families through GP,74%,2250,2057,Catholic ,12,75%,1060,83%
MIEGE,Bishop Miege High School,KS,Shawnee Springs,Neutral relationship,735,Host Families through GP,81%,1990,1807,Catholic,23,100%,1021,75%
MARIANCHICAGO,Marian Catholic High School,IL,Chicago Heights,Neutral relationship,1318,Host Families through GP,68%,1992,,Catholic,14,73.33%,,100%
SHERIDANHILLS,Sheridan Hills Christian School,FL,Hollywood,Neutral relationship,385,Host Families through GP,63%,1955,1806,Christian,2,50%,1012,0%
NBHS,North Brookfield Jr/Sr High School,MA,North Brookfield,Neutral relationship,225,Host Families through GP,44%,1827,1753,,2,,,
BETHANYCS,Bethany Christian School,IN,Goshen,Neutral relationship,265,Host Families through GP,59%,2182,1985,Christian,15,100%,991,0%
UHSINDIANA,University High School of Indiana ,IN,Carmel,Neutral relationship,264,Host Families through GP,63%,2203,2082,None,8,28.57%,515,50%
MCNAMARAIL,Bishop McNamara Catholic High School ,IL,Kankakee,Neutral relationship,327,Host Families through GP,52%,1875,1780,Catholic,10,71.43%,509,0%
VANGUARD,Vanguard College Preparatory School,TX,Waco,Neutral relationship,215,Host Families through GP,,2100,2040,None,18,35.71%,986,33%
MOONEYMI,Cardinal Mooney Catholic High School,MI,Marine City,Neutral relationship,200,Host Families through GP,40%,2070,1890,Catholic,11,100%,,75%
ESJFL,Episcopal School of Jacksonville,FL,Jacksonville,Neutral relationship,560,Host Families through GP,49%,2210,2024,Episcopal,16,59.26%,276,88%
OLDENBURG,Oldenburg Academy,IN,Oldenburg,Neutral relationship,200,Host Families through GP,83%,1956,1859,Catholic,6,100%,969,100%
NDCL,Notre Dame Cathedral Latin School,OH,Chardon,Neutral relationship,680,Host Families through GP,60%,1986,1856,Catholic,4,55.56%,935,20%
PENSACOLA,Pensacola Catholic High School,FL,Pensacola ,Neutral relationship,595,Host Families through GP,46%,2110,1942,Catholic,5,69.23%,941,100%
SMA,St. Mary's Academy,OR,Portland,Neutral relationship,649,Host Families through GP,81%,2103,2024,Catholic,3,0%,945,0%
DAVIDSON,Davidson Academy,TN,Nashville,Neutral relationship,725,Host Families through GP,47%,,,Christian,14,80%,927,14%
MERCYMI,Mercy High School,MI,Farmington Hills,Neutral relationship,835,Host Families through GP,85%,,,Catholic,6,57.14%,889,40%
NDAKY,Notre Dame Academy,KY,Park Hills,Neutral relationship,570,Host Families through GP,83%,,,Roman Catholic,1,100%,889,33%
PJPII,Saint John Paul II Academy,FL,Boca Raton,Neutral relationship,525,Host Families through GP,59%,2004,,Catholic,19,100%,867,50%
NAMA,Nazareth Academy,MA,Wakefield,Neutral relationship,75,Host Families through GP,75%,1850,1801,Catholic,4,100%,818,0%
SGMHS,San Gabriel Mission High School,CA,San Gabriel,Neutral relationship,242,Host Families through GP,83%,1801,,Catholic,17,,,
MERIONPA,Merion Mercy Academy,PA,Merion Station,Neutral relationship,485,Host Families through GP,75%,2253,2095,Catholic,12,84.62%,754,100%
NDACA,Notre Dame Academy,CA,Los Angeles,Neutral relationship,376,Host Families through GP,56%,2174,2014,Catholic,8,72.22%,742,50%
SERVITE,Servite High School,CA,Anaheim,Neutral relationship,900,Host Families through GP,52%,2136,2022,Catholic,4,58.97%,649,100%
HOLYCROSSMD,The Academy of the Holy Cross,MD,Kensington,Neutral relationship,527,Host Families through GP,50%,2150,2023,Catholic,10,84.62%,605,100%
JFKOH,John F. Kennedy Catholic School,OH,Warren,Neutral relationship,645,Host Families through GP,80%,,1880,Catholic,1,,,
GRANDVIEW,Grandview Preparatory School,FL,Boca Raton,Neutral relationship,275,Host Families through GP,48%,1996,1696,None,14,100%,573,50%
SSES,Saint Stephen's Episcopal School,FL,Bradenton,Neutral relationship,640,Host Families through GP,52%,,2020,Episcopal,47,47.62%,,75%
ACDS,Arlington Country Day School,FL,Jacksonville,New partner - still developing,,School-run int'l boarding,,,,,,,,
INACADEMY,Indiana Academy,IN,Cicero,New partner - still developing,82,On-Campus Boarding,45%,2030,1820,7th Day Adventist,6,,,
CORNERSTONE,Cornerstone Academy,CA,San Francisco,New partner - still developing,90,On-Campus Boarding,20%,,,Baptist,60,,,
SUBIACO,Subiaco Academy,AR,Subiaco,New partner - still developing,182,On-Campus Boarding,58%,1965,1945,Catholic (Benedictine),29,,,
CASCADILLA,Cascadilla School,NY,Ithaca,New partner - still developing,55,On-Campus Boarding,,2320,2107,None,35,,,
IJGA,Heritage Academy - Junior Sports Corporation,SC,Hilton Head,New partner - still developing,131,Off-Campus Boarding,86%,,,,,,,
SOUTHAMPTONVA,Southampton Academy,VA,Courtland ,New partner - still developing,339,Off-Campus Boarding,65%,,,,0,100%,214,0%
TLS,Trinity Lutheran School,OR,Bend,New partner - still developing,300,Host Families through School,100%,1760,1700,Lutheran,55,,,
AACSMD,Annapolis Area Christian School,MD,Severn ,New partner - still developing,785,Host Families through School,85%,,1740,Christian,8,,,
ELKCOUNTY,Elk County Catholic High School,PA,St. Marys,New partner - still developing,564,Host Families through School,50%,1864,1735,Roman Catholic ,0,62.50%,255,40%
TREEOFLIFE,Tree of Life Christian Schools,OH,Columbus,New partner - still developing,530,Host Families through School,73%,2180,2030,,2,,,
PREPPA,St. Joseph's Preparatory School,PA,Philadelphia,New partner - still developing,976,Host Families through GP,91%,2153,2054,Catholic (Jesuit),5,20%,850,100%
NORTHSTAR,Northstar Christian Academy ,NY,Rochester ,New partner - still developing,350,Host Families through GP,85%,2145,1924,Christian,50,,,
MOMOH,Mother of Mercy High School,OH,Cincinnati,New partner - still developing,530,Host Families through GP,71%,2076,1958,Catholic,4,66.67%,656,20%
ORINDA,Orinda Academy,CA,Orinda,New partner - still developing,95,Host Families through GP,50%,1965,1888,Independant,18,,,
WICHITA,Wichita Collegiate School,KS,Wichita,New partner - still developing,948,Host Families through GP,68%,2172,1985,None,7,75%,605,80%
AWHSMA,Archbishop Williams High School,MA,Braintree,New partner - still developing,526,Host Families through GP,70%,2150,1950,Catholic,24,68.83%,585,106%
REDWOODCS,Redwood Christian Schools,CA,Castro Valley,New partner - still developing,650,Host Families through GP,50%,,,Christian,80,,,
SAINTDOMNJ,Saint Dominic Academy,NJ,Jersey City,New partner - still developing,250,Host Families through GP,50%,1945,,Catholic,5,100%,564,29%
NDATYNGSBORO,Academy of Notre Dame,MA,Tyngsboro,New partner - still developing,650,Host Families through GP,80%,2108,1966,Catholic,18,,,
RARITANBAYNJ,Raritan Bay Catholic Preparatory School,NJ,South Amboy,New partner - still developing,452,Host Families through GP,,1783,1590,Catholic,31,,,
TRINITYCT,Trinity Catholic High School,CT,Stamford,New partner - still developing,450,Host Families through GP,95%,1887,,Catholic,25,,,
DOANENJ,Doane Academy,NJ,Burlington,New partner - still developing,230,Host Families through GP,31%,,1840,Episcopal,6,,,
DEPAULNJ,DePaul Catholic High School,NJ,Wayne,New partner - still developing,717,Host Families through GP,42%,1858,1712,Catholic,48,,,
MCAULEYIL,Mother Mcauley Liberal Arts High School,IL,Chicago,New partner - still developing,1168,Host Families through GP,71%,2180,1870,Catholic,,40%,518,0%
LVCHS,Lehigh Valley Christian School,PA,Catasauqua,New partner - still developing,130,Host Families through GP,,,,Christian,16,,,
YORKCA,York School,CA,Monterey,New partner - still developing,230,Host Families through GP,75%,2270,2184,None,2,21.88%,509,33%
STMICHAELSTX,St. Michael's Catholic Academy,TX,Austin,New partner - still developing,360,Host Families through GP,,,,Catholic,22,,,
OAKWOODCA,Oakwood School,CA,Morgan Hill,New partner - still developing,441,Host Families through GP,64%,2230,2103,,5,75%,516,67%
NDPREPMI,Notre Dame Preparatory,MI,Pontiac,New partner - still developing,1351,Host Families through GP,60%,2280,2160,Catholic,,55.56%,509,40%
BISHOPDIEGO,Bishop Garcia Diego High School,CA,Santa Barbara,New partner - still developing,275,Host Families through GP,70%,2007,1800,Catholic,4,66.67%,520,100%
JOLIETIL,Joliet Catholic Academy,IL,Joliet,New partner - still developing,696,Host Families through GP,50%,1950,1830,Catholic,4,64%,501,86%
BAYRIDGE,Bay Ridge Preparatory School,NY,Brooklyn,New partner - still developing,422,Host Families through GP,95%,,,None,20,,,
CHEVERUS,Cheverus High School,ME,Portland,New partner - still developing,488,Host Families through GP,60%,,,Jesuit,23,,,
CATHEDRALHIGH,Cathedral High School,MA,Wilbraham,New partner - still developing,235,Host Families through GP,61%,,,,30,,,
CONGRESSIONAL,The Congressional Schools of Virginia,VA,Falls Church,New partner - still developing,339,Host Families through GP,48%,,,None,0,80%,593,67%
NEWHOPEMD,New Hope Academy,MD,Landover Hills,New partner - still developing,225,Host Families through GP,,,,none,14,,,
CARROLLDC,Archbishop Carroll,DC,Washington,New partner - still developing,396,Host Families through GP,58%,1950,1843,Catholic,4,90.91%,444,75%
GEIBELPA,Geibel Catholic Junior-Senior High School,PA,Connellsville,New partner - still developing,178,Host Families through GP,75%,,,Catholic,5,,,
NICHOLSNY,Nichols School,NY,Buffalo,New partner - still developing,570,Host Families through GP,75%,2090,1902,None,5,,,
CJOH,Chaminade Julienne Catholic High School,OH,Dayton,New partner - still developing,675,Host Families through GP,73%,1901,1745,One course per year,0,68.75%,395,50%
MOREAUCA,Moreau Catholic High School,CA,Hayward,New partner - still developing,950,Host Families through GP,52%,2010,,Catholic,44,,,
LANSDALEPA,Lansdale Catholic High School,PA,Landsale,New partner - still developing,,Host Families through GP,,,,,,,,
PALMERTRINITY,Palmer Trinity School,FL,Miami,New partner - still developing,680,Host Families through GP,67%,,,,54,100%,368,150%
SJVANY,St. John Villa Academy,NY,Staten Island,New partner - still developing,750,Host Families through GP,69%,1925,1730,Catholic,1,80%,349,0%
LASALLERI,La Salle Academy,RI,Providence,New partner - still developing,1500,Host Families through GP,80%,2057,1894,Catholic - Lasallian,25,67.74%,346,100%
SJHSSOUTHBEND,Saint Joseph High School,IN,South Bend,New partner - still developing,914,Host Families through GP,74%,,1870,,2,54.55%,336,40%
LMSPA,Lancaster Mennonite High School,PA,"Lancaster, PA",New partner - still developing,786,Host Families through GP,55%,2023,1897,Mennonite,113,,,
PHILMONT,Philadelphia Montgomery Christian Academy,PA,"Glenside, PA",New partner - still developing,,Host Families through GP,,,,,,,,
DOCKHSPA,Christopher Dock Mennonite School,PA,"Lansdale, PA",New partner - still developing,345,Host Families through GP,70%,,,,59,,,
OAKLANDCATHOLIC,Oakland Catholic High School,PA,Pittsburgh,New partner - still developing,555,Host Families through GP,76%,2071,1979,Catholic,26,,,
EASTWOODSNY,East Woods School,NY,Oyster Bay,New partner - still developing,208,Host Families through GP,77%,,,,0,100%,300,71%
CALVARYBAPTIST,Calvary Baptist School,PA,Lansdale,New partner - still developing,,Host Families through GP,,,,,,,,
GLENDALECA,Glendale Adventist Academy,CA,Glendale,New partner - still developing,,Host Families through GP,,,,,,,,
CBASYRACUSE,Christian Brothers Academy ,NY,Syracuse,New partner - still developing,788,Host Families through GP,75%,,1900,,6,50%,251,80%
SFCHSFL,St Francis Catholic High School,FL,Gainesville,New partner - still developing,215,Host Families through GP,62%,2055,1780,Roman Catholic,1,100%,258,0%
GOODCOUNSEL,Our Lady of Good Counsel High School,MD,Olney,New partner - still developing,1228,Host Families through GP,75%,2112,1989,Catholic,0,29.69%,,117%
ICHSNJ,Immaculate Conception High School,NJ,Montclaire,New partner - still developing,136,Host Families through GP,61%,,,Roman Catholic,0,100%,214,25%
MERCYHSBCA,Mercy High School,CA,Burlingame,New partner - still developing,,Host Families through GP,,,,,,75%,255,80%
MPHNY,Manlius Pebble Hill School,NY,Syracuse,New partner - still developing,422,Host Families through GP,90%,,,,21,73.91%,,100%
SHEPHERD HILL,Shepherd Hill Regional High School,MA,Dudley ,New partner - still developing,,Host Families through GP,,,,,,,,
RANNEY,Ranney School ,NJ,Tinton Falls ,New partner - still developing,803,Host Families through GP,74%,2235,2104,,0,0%,223,0%
MARISTNJ,Marist High School,NJ,Bayonne ,New partner - still developing,342,Host Families through GP,61%,,,Roman Catholic,,100%,217,100%
SOMERSET BERKLEY,Somerset Berkley Regional High School ,MA,625 County Street,New partner - still developing,931,Host Families through GP,75%,1904,1728,,,,,
SCITUATE,Scituate High School,MA,Scituate,New partner - still developing,,Host Families through GP,,,,,,,,
AYER SHIRLEY,Ayer Shirley Regional High School,MA,Ayer,New partner - still developing,,Host Families through GP,,,,,,,,
MASCONOMET,Masconomet Regional High School,MA,Boxford,New partner - still developing,,Host Families through GP,,,,,,,,
NORTHBRIDGE,Northbridge High School,MA,Whitinsville,New partner - still developing,,Host Families through GP,,,,,,,,
MEDWAY,Medway High School,MA,Medway,New partner - still developing,,Host Families through GP,,,,,,,,
TCAJAX,Trinity Christian Academy,FL,Jacksonville,New partner - still developing,1468,Host Families through GP,,1947,1804,,17,,,
ALGONQUIN,Algonquin Regional High School,MA,Northborough,New partner - still developing,,Host Families through GP,,,,,,,,
CHSAUSTIN,Concordia High School,TX,Round Rock,New partner - still developing,131,Host Families through GP,72%,1940,1820,Christian,6,,,0%
GRIFFIN,Sacred Heart Griffin High School ,IL,Springfield ,New partner - still developing,724,Host Families through GP,55%,,,,24,70%,573,60%
SHORECREST,Shorecrest Preparatory School,FL,St. Petersburg,New partner - still developing,960,Host Families through GP,60%,,,,26,,,
MARQUETTE,Marquette Catholic,IL,Alton,New partner - still developing,422,Host Families through GP,60%,,,,0,50%,195,0%
FOXBOROUGH,Foxborough High School,MA,Foxborough,New partner - still developing,,Host Families through GP,,,,,,,,
NORTH ANDOVER,North Andover High School,MA,North Andover,New partner - still developing,,Host Families through GP,,,,,,,,
PNDHSIL,Peoria Notre Dame High School,IL,Peoria,New partner - still developing,784,Host Families through GP,44%,,,,4,60%,,75%
BALBOACA,Balboa City School ,CA,San Diego,New partner - still developing,75,Host Families through GP,90%,,,,24,,,
SAINTAGNESMN,St. Agnes School,MN,St Paul,New partner - still developing,,Host Families through GP,,,,,,100%,,0%
BELLARMINEPREP,Bellarmine Preparatory School,WA,Tacoma,New partner - still developing,993,Host Families through GP,64%,,,,3,55.56%,,80%
CHSTACOMA,Covenant High School,WA,Tacoma,New partner - still developing,91,Host Families through GP,70%,2340,2088,,14,,,
TOTINOGRACE,Totino-Grace High School (note legal name: Grace High School),MN,Fridley,New partner - still developing,,Host Families through GP,,,,,,,,
CBAALBANY,Christian Brothers Academy ,NY,Albany ,New partner - still developing,,Host Families through GP,,,,,,,,
AHAMN,Academy of Holy Angels ,MN,Richfield,New partner - still developing,615,Host Families through GP,78%,,,,28,100%,,25%
SAINTBERNARDCT,Saint Bernard School,CT,Uncasville,New partner - still developing,,Host Families through GP,,,,,,,,
MINNEHAHA,Minnehaha Academy,MN,Minneapolis,New partner - still developing,,Host Families through GP,,,,,,,,
IMMACULATANJ,Immaculata High School,NJ,Somerville,New partner - still developing,,Host Families through GP,,,,,,,,
CATHEDRALNYC,The Cathedral School of St. John the Divine,NY,New York,New partner - still developing,,Host Families through GP,,,,,,,,
CCHSCA,Central Catholic High School,CA,Modesto,New partner - still developing,,Host Families through GP,,,,,,,,
ELMWOODFRANKLIN,elmwood franklin school,NY,Buffalo ,New partner - still developing,,Host Families through GP,,,,,,,,
LHSMO,Lutheran High School of St. Charles County,MO,Saint Peters,New partner - still developing,,Host Families through GP,,,,,,,,
CONNELLYMD,Connolly School od the Holy Child,MD,Potomac,New partner - still developing,,Host Families through GP,,,,,,,,
SJCINY,St. Joseph's Collegiate Institute,NY,Buffalo ,New partner - still developing,,Host Families through GP,,,,,,,,
CCATX,Covenant ChristianAcademy ,TX,Coleyville,New partner - still developing,,Host Families through GP,,,,,,,,
CBCHS,Christian Brothers College High School ,MO,St.Louis ,New partner - still developing,,Host Families through GP,,,,,,,,
TBCS,Trinity Byrnes Collegiate School,SC,Darlington,Poor relationship,208,School-run int'l boarding,45%,,1926,,2,100%,,50%
HAMMOND,Hammond School,SC,Columbia,Poor relationship,891,Family-style boarding and host families through school,65%,,,,25,53.85%,,73%
FLA,Forest Lake Academy,FL,Apopka,Poor relationship,421,On-Campus Boarding,95%,1979,1789,7th Day Adventist,19,,,
GRA,Grand River Academy,OH,Austinburg,Poor relationship,92,On-Campus Boarding,50%,0,0,None,34,,,
JOURNEYS,Journeys School,WY,Jackson,Poor relationship,180,On-Campus Boarding,75%,1915,1780,None,8,,,
GUILFOYLE,Bishop Guilfoyle Catholic High School,PA,Altoona,Poor relationship,330,Off-Campus Boarding,42%,2011,1865,Catholic,32,55.56%,1232,22%
HHPREP,Hilton Head Preparatory School,SC, Hilton Head Island,Poor relationship,410,Off-Campus Boarding,45%,2088,,None,32,97.78%,339,88%
MATLOCK,Matlock Preparatory Academy,FL,West Palm Beach,Poor relationship,40,Host Families through School,100%,2150,2050,None,1,,,
PADUA,Padua Academy,DE,Wilmington,Poor relationship,614,Host Families through School,80%,1910,,Catholic,4,,,
SFS,St. Francis de Sales High School,OH,Toledo,Poor relationship,629,Host Families through School,61%,2133,1750,Catholic,10,,,
BOURGADE,Bourgade Catholic High School,AZ,Phoenix,Poor relationship,404,Host Families through School,64%,1865,1782,Catholic,3,,,
WWS,Washington Waldorf School,MD,Bethesda,Poor relationship,247,Host Families through School,89%,2350,2230,None,12,,,
MWS,Merriconeag Waldorf School,ME,Freeport,Poor relationship,265,Host Families through School,43%,2300,2070,None,6,,,
CHARLESTON,Charleston Collegiate School,SC,John's Island,Poor relationship,250,Host Families through GP,81%,1700,,None,2,77.78%,1585,33%
DCS,Dallas Christian School,TX,Mesquite,Poor relationship,600,Host Families through GP,25%,1894,1840,Christian (Non-Denomo-national),10,42.31%,945,75%
SEHS,St. Elizabeth's High School,DE,Wilmington,Poor relationship,384,Host Families through GP,60%,1802,1610,Catholic,4,100%,508,0%
ORANGEWOOD,Orangewood Academy,CA,Garden Grove,Poor relationship,234,Host Families through GP,50%,2020,1787,7th Day Adventist,27,,,
IHAZ,Immaculate Heart High School,AZ,Tucson,Poor relationship,461,Host Families through GP,35%,,,Catholic,11,,,
SRHS,St. Rose High School,NJ,Belmar,Poor relationship,525,Host Families through GP,60%,2071,1900,Catholic,20,64.29%,328,33%
MILEHIGH,Mile High Academy,CO,Denver,Poor relationship,151,Host Families through GP,34%,,,7th Day Adventist,1,,,
MULLEN,Mullen High School,CO,Denver,Poor relationship,825,Host Families through GP,78%,,,Catholic (Lasallian),2,,,
LAKEHILL,Lakehill Preparatory School,TX,Dallas,Poor relationship,415,Host Families through GP,62%,2335,2118,None,15,41.67%,994,83%
BOHSVA,Bishop O'Connell High School,VA,Arlington,Poor relationship,1220,Host Families through GP,78%,2174,2012,Catholic,66,41.03%,888,75%
GUERIN,St. Theodore Guerin High School,IN,Noblesville,Poor relationship,720,Host Families through GP,58%,2002,1911,Catholic,0,,,
SHCPSF,Sacred Heart Cathedral Preparatory School,CA,San Francisco,Poor relationship,1224,Host Families through GP,70%,,,Catholic (Vincentian and Lasallian),7,,,
STXOH,St. Xavier High School,OH,Cincinnati,Poor relationship,1580,Host Families through GP,87%,,,Catholic,8,0%,908,0%
SJNFL,"St. John Neumann Catholic High School, Inc.",FL,Naples,Poor relationship,233,Host Families through GP,40%,,,Catholic,5,,,
APPLEWILDMA,Applewild School,MA,Fitchburg,Poor relationship,160,Host Families through GP,66%,,,None,5,80%,875,17%
MDPREPNJ,Mater Dei Prep,NJ,New Monmouth,Poor relationship,300,Host Families through GP,40%,2050,1967,Catholic,19,68.75%,868,50%
BANJ,Benedictine Academy ,NJ,Elizabeth,Poor relationship,182,Host Families through GP,70%,1693,1595,Catholic,0,100%,740,40%
CAROLINADAY,Carolina Day School,NC,Asheville,Poor relationship,600,Host Families through GP,61%,,,None,10,20%,671,33%
